word	nodeType	unit	synset
great	ADJ	lovecraftSentences	7
white	ADJ	lovecraftSentences	25
fertile	ADJ	lovecraftSentences	4
next	ADJ	lovecraftSentences	4
weird	ADJ	lovecraftSentences	3
unknown	ADJ	lovecraftSentences	8
stellar	ADJ	lovecraftSentences	2
large	ADJ	lovecraftSentences	11
big	ADJ	lovecraftSentences	17
brownish	ADJ	lovecraftSentences	1
charred	ADJ	lovecraftSentences	2
archaic	ADJ	lovecraftSentences	2
front	ADJ	lovecraftSentences	13
wise	ADJ	lovecraftSentences	7
soft	ADJ	lovecraftSentences	20
soft	ADJ	lovecraftSentences	20
plastic	ADJ	lovecraftSentences	5
old	ADJ	lovecraftSentences	9
small	ADJ	lovecraftSentences	13
cool	ADJ	lovecraftSentences	11
thoughtful	ADJ	lovecraftSentences	5
small	ADJ	lovecraftSentences	13
large	ADJ	lovecraftSentences	11
less	ADJ	lovecraftSentences	5
great	ADJ	lovecraftSentences	7
wise	ADJ	lovecraftSentences	7
strange	ADJ	lovecraftSentences	3
occluded	ADJ	lovecraftSentences	3
negative	ADJ	lovecraftSentences	12
non	ADJ	lovecraftSentences	1
-	ADJ	lovecraftSentences	0
volatile	ADJ	lovecraftSentences	5
producible	ADJ	lovecraftSentences	0
oxy	ADJ	lovecraftSentences	0
malleable	ADJ	lovecraftSentences	2
cool	ADJ	lovecraftSentences	11
real	ADJ	lovecraftSentences	13
normal	ADJ	lovecraftSentences	5
much	ADJ	lovecraftSentences	7
breathless	ADJ	lovecraftSentences	3
new	ADJ	lovecraftSentences	12
bizarre	ADJ	lovecraftSentences	1
optical	ADJ	lovecraftSentences	3
other	ADJ	lovecraftSentences	4
hot	ADJ	lovecraftSentences	21
proper	ADJ	lovecraftSentences	4
same	ADJ	lovecraftSentences	6
nitric	ADJ	lovecraftSentences	1
torrid	ADJ	lovecraftSentences	3
usual	ADJ	lovecraftSentences	2
ammonia	ADJ	lovecraftSentences	2
caustic	ADJ	lovecraftSentences	3
nauseous	ADJ	lovecraftSentences	2
magnetic	ADJ	lovecraftSentences	5
faint	ADJ	lovecraftSentences	8
meteoric	ADJ	lovecraftSentences	3
considerable	ADJ	lovecraftSentences	1
original	ADJ	lovecraftSentences	6
next	ADJ	lovecraftSentences	4
charred	ADJ	lovecraftSentences	2
wooden	ADJ	lovecraftSentences	2
sober	ADJ	lovecraftSentences	7
brown	ADJ	lovecraftSentences	8
vacant	ADJ	lovecraftSentences	2
good	ADJ	lovecraftSentences	27
hot	ADJ	lovecraftSentences	21
large	ADJ	lovecraftSentences	11
small	ADJ	lovecraftSentences	13
homogeneous	ADJ	lovecraftSentences	1
large	ADJ	lovecraftSentences	11
coloured	ADJ	lovecraftSentences	10
strange	ADJ	lovecraftSentences	3
impossible	ADJ	lovecraftSentences	4
glossy	ADJ	lovecraftSentences	5
smart	ADJ	lovecraftSentences	9
nervous	ADJ	lovecraftSentences	5
little	ADJ	lovecraftSentences	10
hollow	ADJ	lovecraftSentences	8
spherical	ADJ	lovecraftSentences	2
probable	ADJ	lovecraftSentences	3
vain	ADJ	lovecraftSentences	2
futile	ADJ	lovecraftSentences	2
additional	ADJ	lovecraftSentences	1
new	ADJ	lovecraftSentences	12
baffling	ADJ	lovecraftSentences	4
plastic	ADJ	lovecraftSentences	5
slight	ADJ	lovecraftSentences	5
powerful	ADJ	lovecraftSentences	6
unknown	ADJ	lovecraftSentences	8
mutual	ADJ	lovecraftSentences	2
great	ADJ	lovecraftSentences	7
such	ADJ	lovecraftSentences	2
dowered	ADJ	lovecraftSentences	2
outside	ADJ	lovecraftSentences	14
obedient	ADJ	lovecraftSentences	1
outside	ADJ	lovecraftSentences	14
next	ADJ	lovecraftSentences	4
bitter	ADJ	lovecraftSentences	12
magnetic	ADJ	lovecraftSentences	5
peculiar	ADJ	lovecraftSentences	4
electrical	ADJ	lovecraftSentences	2
singular	ADJ	lovecraftSentences	7
front	ADJ	lovecraftSentences	13
ragged	ADJ	lovecraftSentences	9
ancient	ADJ	lovecraftSentences	4
chocked	ADJ	lovecraftSentences	2
total	ADJ	lovecraftSentences	7
sure	ADJ	lovecraftSentences	10
cryptic	ADJ	lovecraftSentences	3
fathomless	ADJ	lovecraftSentences	0
lone	ADJ	lovecraftSentences	3
weird	ADJ	lovecraftSentences	3
other	ADJ	lovecraftSentences	4
other	ADJ	lovecraftSentences	4
natural	ADJ	lovecraftSentences	13
much	ADJ	lovecraftSentences	7
least	ADJ	lovecraftSentences	3
local	ADJ	lovecraftSentences	5
lean	ADJ	lovecraftSentences	10
genial	ADJ	lovecraftSentences	3
pleasant	ADJ	lovecraftSentences	2
proud	ADJ	lovecraftSentences	2
hot	ADJ	lovecraftSentences	21
deep	ADJ	lovecraftSentences	21
shadowy	ADJ	lovecraftSentences	3
more	ADJ	lovecraftSentences	5
other	ADJ	lovecraftSentences	4
phenomenal	ADJ	lovecraftSentences	2
unwonted	ADJ	lovecraftSentences	1
such	ADJ	lovecraftSentences	2
extra	ADJ	lovecraftSentences	7
future	ADJ	lovecraftSentences	7
sore	ADJ	lovecraftSentences	4
gorgeous	ADJ	lovecraftSentences	1
specious	ADJ	lovecraftSentences	2
single	ADJ	lovecraftSentences	10
fit	ADJ	lovecraftSentences	16
fine	ADJ	lovecraftSentences	10
stealthy	ADJ	lovecraftSentences	1
small	ADJ	lovecraftSentences	13
same	ADJ	lovecraftSentences	6
entire	ADJ	lovecraftSentences	5
quick	ADJ	lovecraftSentences	8
most	ADJ	lovecraftSentences	5
other	ADJ	lovecraftSentences	4
cold	ADJ	lovecraftSentences	16
usual	ADJ	lovecraftSentences	2
worried	ADJ	lovecraftSentences	8
taciturn	ADJ	lovecraftSentences	1
steady	ADJ	lovecraftSentences	10
various	ADJ	lovecraftSentences	4
social	ADJ	lovecraftSentences	7
melancholy	ADJ	lovecraftSentences	5
poor	ADJ	lovecraftSentences	7
vague	ADJ	lovecraftSentences	3
definite	ADJ	lovecraftSentences	2
certain	ADJ	lovecraftSentences	7
usual	ADJ	lovecraftSentences	2
red	ADJ	lovecraftSentences	7
white	ADJ	lovecraftSentences	25
right	ADJ	lovecraftSentences	36
specific	ADJ	lovecraftSentences	6
characteristic	ADJ	lovecraftSentences	5
past	ADJ	lovecraftSentences	6
long	ADJ	lovecraftSentences	12
latter	ADJ	lovecraftSentences	2
firm	ADJ	lovecraftSentences	14
more	ADJ	lovecraftSentences	5
cowed	ADJ	lovecraftSentences	1
peculiar	ADJ	lovecraftSentences	4
impossible	ADJ	lovecraftSentences	4
frightened	ADJ	lovecraftSentences	4
grotesque	ADJ	lovecraftSentences	3
awed	ADJ	lovecraftSentences	3
general	ADJ	lovecraftSentences	10
such	ADJ	lovecraftSentences	2
strange	ADJ	lovecraftSentences	3
monstrous	ADJ	lovecraftSentences	3
unprecedented	ADJ	lovecraftSentences	1
several	ADJ	lovecraftSentences	3
abnormal	ADJ	lovecraftSentences	3
healthy	ADJ	lovecraftSentences	5
bad	ADJ	lovecraftSentences	17
strange	ADJ	lovecraftSentences	3
several	ADJ	lovecraftSentences	3
wild	ADJ	lovecraftSentences	17
conservative	ADJ	lovecraftSentences	7
odd	ADJ	lovecraftSentences	6
odd	ADJ	lovecraftSentences	6
frightened	ADJ	lovecraftSentences	4
mere	ADJ	lovecraftSentences	3
certain	ADJ	lovecraftSentences	7
serious	ADJ	lovecraftSentences	6
wild	ADJ	lovecraftSentences	17
superstitious	ADJ	lovecraftSentences	1
strange	ADJ	lovecraftSentences	3
anomalous	ADJ	lovecraftSentences	1
brittle	ADJ	lovecraftSentences	4
same	ADJ	lovecraftSentences	6
odd	ADJ	lovecraftSentences	6
second	ADJ	lovecraftSentences	15
entire	ADJ	lovecraftSentences	5
stealthy	ADJ	lovecraftSentences	1
ultimate	ADJ	lovecraftSentences	3
strange	ADJ	lovecraftSentences	3
adjacent	ADJ	lovecraftSentences	3
bizarre	ADJ	lovecraftSentences	1
proper	ADJ	lovecraftSentences	4
sane	ADJ	lovecraftSentences	2
wholesome	ADJ	lovecraftSentences	2
green	ADJ	lovecraftSentences	14
hectic	ADJ	lovecraftSentences	1
prismatic	ADJ	lovecraftSentences	2
diseased	ADJ	lovecraftSentences	1
underlying	ADJ	lovecraftSentences	5
primary	ADJ	lovecraftSentences	9
sinister	ADJ	lovecraftSentences	3
insolent	ADJ	lovecraftSentences	2
chromatic	ADJ	lovecraftSentences	3
most	ADJ	lovecraftSentences	5
brittle	ADJ	lovecraftSentences	4
strange	ADJ	lovecraftSentences	3
more	ADJ	lovecraftSentences	5
well	ADJ	lovecraftSentences	22
sensitive	ADJ	lovecraftSentences	6
most	ADJ	lovecraftSentences	5
Most	ADJ	lovecraftSentences	5
usual	ADJ	lovecraftSentences	2
nocturnal	ADJ	lovecraftSentences	2
former	ADJ	lovecraftSentences	5
random	ADJ	lovecraftSentences	1
right	ADJ	lovecraftSentences	36
next	ADJ	lovecraftSentences	4
swollen	ADJ	lovecraftSentences	7
moonlit	ADJ	lovecraftSentences	1
next	ADJ	lovecraftSentences	4
timid	ADJ	lovecraftSentences	4
short	ADJ	lovecraftSentences	23
dark	ADJ	lovecraftSentences	16
buggy	ADJ	lovecraftSentences	3
faint	ADJ	lovecraftSentences	8
thick	ADJ	lovecraftSentences	13
distinct	ADJ	lovecraftSentences	5
untouched	ADJ	lovecraftSentences	4
bad	ADJ	lovecraftSentences	17
apparent	ADJ	lovecraftSentences	2
singular	ADJ	lovecraftSentences	7
only	ADJ	lovecraftSentences	9
few	ADJ	lovecraftSentences	2
few	ADJ	lovecraftSentences	2
surprised	ADJ	lovecraftSentences	4
poor	ADJ	lovecraftSentences	7
single	ADJ	lovecraftSentences	10
specific	ADJ	lovecraftSentences	6
harmless	ADJ	lovecraftSentences	1
afraid	ADJ	lovecraftSentences	4
mad	ADJ	lovecraftSentences	4
luminous	ADJ	lovecraftSentences	1
nearby	ADJ	lovecraftSentences	2
little	ADJ	lovecraftSentences	10
terrible	ADJ	lovecraftSentences	4
stable	ADJ	lovecraftSentences	7
frightened	ADJ	lovecraftSentences	4
useless	ADJ	lovecraftSentences	1
unmanageable	ADJ	lovecraftSentences	4
own	ADJ	lovecraftSentences	2
own	ADJ	lovecraftSentences	2
heavy	ADJ	lovecraftSentences	30
enough	ADJ	lovecraftSentences	3
