word	nodeType	unit	synset
people	NOUN	lovecraftSentences	6
house	NOUN	lovecraftSentences	14
ruin	NOUN	lovecraftSentences	12
day	NOUN	lovecraftSentences	10
place	NOUN	lovecraftSentences	32
twilight	NOUN	lovecraftSentences	4
spot	NOUN	lovecraftSentences	20
town	NOUN	lovecraftSentences	4
road	NOUN	lovecraftSentences	2
south	NOUN	lovecraftSentences	7
cloud	NOUN	lovecraftSentences	14
timidity	NOUN	lovecraftSentences	2
skyey	NOUN	lovecraftSentences	0
void	NOUN	lovecraftSentences	8
soul	NOUN	lovecraftSentences	5
evening	NOUN	lovecraftSentences	6
people	NOUN	lovecraftSentences	6
heath	NOUN	lovecraftSentences	2
phrase	NOUN	lovecraftSentences	6
day	NOUN	lovecraftSentences	10
answer	NOUN	lovecraftSentences	15
mystery	NOUN	lovecraftSentences	2
matter	NOUN	lovecraftSentences	7
legendry	NOUN	lovecraftSentences	0
lifetime	NOUN	lovecraftSentences	1
'	NOUN	lovecraftSentences	0
eighty	NOUN	lovecraftSentences	2
family	NOUN	lovecraftSentences	8
speaker	NOUN	lovecraftSentences	3
attention	NOUN	lovecraftSentences	6
tale	NOUN	lovecraftSentences	2
morning	NOUN	lovecraftSentences	4
cottage	NOUN	lovecraftSentences	1
tree	NOUN	lovecraftSentences	7
place	NOUN	lovecraftSentences	32
odour	NOUN	lovecraftSentences	2
house	NOUN	lovecraftSentences	14
knocking	NOUN	lovecraftSentences	7
man	NOUN	lovecraftSentences	13
door	NOUN	lovecraftSentences	5
eye	NOUN	lovecraftSentences	6
way	NOUN	lovecraftSentences	13
clothing	NOUN	lovecraftSentences	4
tale	NOUN	lovecraftSentences	2
matter	NOUN	lovecraftSentences	7
business	NOUN	lovecraftSentences	9
surveying	NOUN	lovecraftSentences	7
question	NOUN	lovecraftSentences	11
district	NOUN	lovecraftSentences	2
subject	NOUN	lovecraftSentences	15
man	NOUN	lovecraftSentences	13
rustic	NOUN	lovecraftSentences	4
section	NOUN	lovecraftSentences	15
reservoir	NOUN	lovecraftSentences	4
protest	NOUN	lovecraftSentences	6
mile	NOUN	lovecraftSentences	8
wood	NOUN	lovecraftSentences	8
farmland	NOUN	lovecraftSentences	2
home	NOUN	lovecraftSentences	17
lain	NOUN	lovecraftSentences	7
bound	NOUN	lovecraftSentences	27
lake	NOUN	lovecraftSentences	3
relief	NOUN	lovecraftSentences	11
relief	NOUN	lovecraftSentences	11
doom	NOUN	lovecraftSentences	4
valley	NOUN	lovecraftSentences	1
life	NOUN	lovecraftSentences	14
water	NOUN	lovecraftSentences	10
water	NOUN	lovecraftSentences	10
day	NOUN	lovecraftSentences	10
opening	NOUN	lovecraftSentences	25
voice	NOUN	lovecraftSentences	13
body	NOUN	lovecraftSentences	12
forefinger	NOUN	lovecraftSentences	1
story	NOUN	lovecraftSentences	6
voice	NOUN	lovecraftSentences	13
summer	NOUN	lovecraftSentences	3
day	NOUN	lovecraftSentences	10
speaker	NOUN	lovecraftSentences	3
rambling	NOUN	lovecraftSentences	5
piece	NOUN	lovecraftSentences	18
point	NOUN	lovecraftSentences	40
parrot	NOUN	lovecraftSentences	3
memory	NOUN	lovecraftSentences	5
professor	NOUN	lovecraftSentences	1
talk	NOUN	lovecraftSentences	11
bridge	NOUN	lovecraftSentences	12
gap	NOUN	lovecraftSentences	7
sense	NOUN	lovecraftSentences	9
logic	NOUN	lovecraftSentences	5
continuity	NOUN	lovecraftSentences	3
mind	NOUN	lovecraftSentences	13
trifle	NOUN	lovecraftSentences	6
folk	NOUN	lovecraftSentences	4
heath	NOUN	lovecraftSentences	2
sunset	NOUN	lovecraftSentences	5
hotel	NOUN	lovecraftSentences	1
star	NOUN	lovecraftSentences	12
open	NOUN	lovecraftSentences	36
day	NOUN	lovecraftSentences	10
position	NOUN	lovecraftSentences	18
chaos	NOUN	lovecraftSentences	4
forest	NOUN	lovecraftSentences	3
time	NOUN	lovecraftSentences	15
heath	NOUN	lovecraftSentences	2
brick	NOUN	lovecraftSentences	2
stone	NOUN	lovecraftSentences	16
reservoir	NOUN	lovecraftSentences	4
secret	NOUN	lovecraftSentences	14
fathom	NOUN	lovecraftSentences	4
country	NOUN	lovecraftSentences	5
night	NOUN	lovecraftSentences	8
star	NOUN	lovecraftSentences	12
city	NOUN	lovecraftSentences	3
water	NOUN	lovecraftSentences	10
meteorite	NOUN	lovecraftSentences	1
time	NOUN	lovecraftSentences	15
legend	NOUN	lovecraftSentences	2
witch	NOUN	lovecraftSentences	5
trial	NOUN	lovecraftSentences	6
wood	NOUN	lovecraftSentences	8
half	NOUN	lovecraftSentences	6
island	NOUN	lovecraftSentences	2
devil	NOUN	lovecraftSentences	7
court	NOUN	lovecraftSentences	14
stone	NOUN	lovecraftSentences	16
altar	NOUN	lovecraftSentences	2
wood	NOUN	lovecraftSentences	8
dusk	NOUN	lovecraftSentences	2
day	NOUN	lovecraftSentences	10
cloud	NOUN	lovecraftSentences	14
string	NOUN	lovecraftSentences	17
explosion	NOUN	lovecraftSentences	7
air	NOUN	lovecraftSentences	15
pillar	NOUN	lovecraftSentences	5
smoke	NOUN	lovecraftSentences	10
valley	NOUN	lovecraftSentences	1
wood	NOUN	lovecraftSentences	8
night	NOUN	lovecraftSentences	8
rock	NOUN	lovecraftSentences	9
sky	NOUN	lovecraftSentences	2
ground	NOUN	lovecraftSentences	30
well	NOUN	lovecraftSentences	22
place	NOUN	lovecraftSentences	32
house	NOUN	lovecraftSentences	14
heath	NOUN	lovecraftSentences	2
trim	NOUN	lovecraftSentences	17
garden	NOUN	lovecraftSentences	4
orchard	NOUN	lovecraftSentences	1
town	NOUN	lovecraftSentences	4
people	NOUN	lovecraftSentences	6
stone	NOUN	lovecraftSentences	16
way	NOUN	lovecraftSentences	13
queer	NOUN	lovecraftSentences	5
thing	NOUN	lovecraftSentences	12
mind	NOUN	lovecraftSentences	13
wife	NOUN	lovecraftSentences	1
professor	NOUN	lovecraftSentences	1
morning	NOUN	lovecraftSentences	4
visitor	NOUN	lovecraftSentences	1
space	NOUN	lovecraftSentences	10
day	NOUN	lovecraftSentences	10
mound	NOUN	lovecraftSentences	6
earth	NOUN	lovecraftSentences	9
grass	NOUN	lovecraftSentences	11
sweep	NOUN	lovecraftSentences	15
yard	NOUN	lovecraftSentences	9
man	NOUN	lovecraftSentences	13
stone	NOUN	lovecraftSentences	16
heat	NOUN	lovecraftSentences	11
night	NOUN	lovecraftSentences	8
professor	NOUN	lovecraftSentences	1
geologist	NOUN	lovecraftSentences	1
hammer	NOUN	lovecraftSentences	10
truth	NOUN	lovecraftSentences	5
speciman	NOUN	lovecraftSentences	0
college	NOUN	lovecraftSentences	3
testing	NOUN	lovecraftSentences	10
pail	NOUN	lovecraftSentences	2
kitchen	NOUN	lovecraftSentences	1
